,Nom,Age,Nationalité,General,Potentiel,Club,Valeur,Salaire
5638,Aldo Kalulu,26,France,67,70,FC Sochaux-Montbéliard,€1.3M,€3K
5639,Lassana Coulibaly,26,Mali,74,77,US Salernitana 1919,€5M,€21K
5640,Rasmus Lauritsen,26,Denmark,72,74,Dinamo Zagreb,€2.6M,€700
5641,Denis Bouanga,27,Gabon,75,75,Los Angeles FC,€6M,€9K
5642,Babajide David Akintola,26,Nigeria,69,70,Adana Demirspor,€1.6M,€11K
5643,Scott McKenna,25,Scotland,73,78,Nottingham Forest,€4M,€38K
5644,Oliver Sail,26,New Zealand,69,74,Wellington Phoenix,€1.6M,€2K
5645,Filip Lesniak,26,Slovakia,63,67,Wisła Płock,€600K,€1K
5646,Elliot Käck,32,Sweden,63,63,Djurgårdens IF,€325K,€2K
5647,Cedric Teuchert,25,Germany,69,71,Hannover 96,€1.8M,€14K
5648,Deklan Wynne,27,New Zealand,62,63,,€0,€0
5649,Ryan Hardie,25,Scotland,67,70,Plymouth Argyle,€1.4M,€5K
5650,Leonardo Cesar Jardim,27,Brazil,73,77,LOSC Lille,€3.2M,€18K
5651,Adam Mitchell,23,New Zealand,59,67,,€0,€0
5652,Filippo Romagna,25,Italy,69,72,U.S. Sassuolo Calcio,€1.6M,€13K
5653,Joevin Jones,30,Trinidad and Tobago,67,67,Inter Miami CF,€875K,€3K
5654,Roger Krug Guedes,23,Brazil,75,79,Shandong Taishan,€8M,€18K
5655,Jonathan Malmberg,22,Sweden,55,61,GIF Sundsvall,€100K,€500
5656,Moses Odjer,22,Ghana,65,74,Trapani,€825K,€850
5657,Enrico Baldini,25,Italy,65,69,Cittadella,€1M,€1K
5658,Mohamed Fares,26,Algeria,72,73,Lazio,€2.8M,€33K
5659,Scott McMann,25,Scotland,65,68,Dundee United,€875K,€2K
5660,Andrei Girotto,30,Brazil,78,78,FC Nantes,€11.5M,€26K
5661,Erik Andersson,25,Sweden,61,66,GIF Sundsvall,€475K,€700
5662,Janis Ikaunieks,24,Latvia,63,68,Strømsgodset IF,€500K,€1K
5663,Rubén Duarte Sánchez,26,Spain,76,77,Deportivo Alavés,€8M,€12K
5664,Sebastian Ring,27,Sweden,63,64,Amiens SC,€500K,€1K
5665,Gil Alcalá,28,Mexico,72,74,Club Tijuana,€2M,€12K
5666,Courtney Senior,25,England,61,63,AFC Wimbledon,€400K,€3K
5667,Khiry Shelton,29,United States,63,63,Sporting Kansas City,€475K,€2K
5668,Taylor Moore,25,England,65,68,Shrewsbury Town,€850K,€8K
5669,Víctor Ignacio Malcorra,34,Argentina,72,72,Rosario Central,€1.1M,€13K
5670,Franco Soldano,27,Argentina,68,68,Gimnasia y Esgrima La Plata,€1.3M,€8K
5671,Euciodálcio Gomes,26,Guinea Bissau,67,70,APOEL Nicosia FC,€1.3M,€500
5672,Ivo Tiago Santos Rodrigues,27,Portugal,73,73,Futebol Clube de Famalicão,€3.2M,€9K
5673,Gelson Dany Batalha Martins,27,Portugal,77,77,AS Monaco,€11M,€47K
5674,Francisco Soares dos Santos,30,Brazil,76,76,Olympiacos CFP,€7.5M,€2K
5675,Jacob Bruun Larsen,23,Denmark,73,78,TSG Hoffenheim,€4.6M,€25K
5676,Gonzalo Melero Manzanares,28,Spain,74,74,Unión Deportiva Almería,€4.2M,€23K
5677,Elías Már Ómarsson,27,Iceland,67,68,Nîmes Olympique,€1.2M,€3K
5678,Mateo Cassierra,23,Colombia,72,79,Belenenses SAD,€4.7M,€6K
5679,Dario Melnjak,29,Croatia,70,70,Hajduk Split,€1.4M,€600
5680,Patrick Kpozo,23,Ghana,63,66,Östersunds FK,€600K,€950
5681,Bart Ramselaar,26,Netherlands,74,75,FC Utrecht,€5M,€15K
5682,Earl Edwards Jr.,30,United States,61,61,New England Revolution,€220K,€1K
5683,Marvin Johnson,31,England,67,67,Sheffield Wednesday,€750K,€5K
5684,Kerim Mrabti,28,Sweden,72,72,KV Mechelen,€2.4M,€12K
5685,Samuel Portugal Lima,28,Brazil,73,76,FC Porto,€2.8M,€9K
5686,Tesfaldet Tekie,25,Sweden,67,71,Go Ahead Eagles,€1.4M,€3K
5687,Almamy Touré,26,Mali,74,76,Eintracht Frankfurt,€4.6M,€22K
5688,Moha Traoré Diarra,22,Spain,64,73,Cádiz CF,€700K,€3K
5689,Marvin Mehlem,24,Germany,70,74,SV Darmstadt 98,€2.3M,€10K
5690,Dženis Burnić,24,Germany,68,72,1. FC Heidenheim 1846,€1.7M,€9K
5691,Ronan Curtis,26,Republic of Ireland,66,66,Portsmouth,€925K,€4K
5692,Seung Hoon Oh,34,Korea Republic,68,68,Daegu FC,€210K,€3K
5693,Fabián Balbuena,28,Paraguay,75,75,West Ham United,€4.8M,€34K
5694,Alex De John,31,United States,61,61,Atlanta United,€220K,€1K
5695,Christofer Gonzáles,29,Peru,72,72,Al Adalah,€2.3M,€16K
5696,Robin Lod,29,Finland,73,73,Minnesota United FC,€3M,€8K
5697,Sergi Palencia Hurtado,26,Spain,70,72,AS Saint-Étienne,€1.8M,€5K
5698,Mamadou Thiam,27,Senegal,66,66,Universitatea Cluj,€900K,€2K
5699,Connor Ronan,24,Republic of Ireland,67,72,Wolverhampton Wanderers,€1.5M,€19K
5701,Maximilian Wittek,26,Germany,74,75,Vitesse,€4.5M,€14K
5702,Sauli Väisänen,28,Finland,66,68,Cosenza,€850K,€1K
5703,Bingourou Kamara,25,Senegal,70,75,Montpellier Hérault SC,€1.9M,€9K
5704,Gethin Jones,26,Wales,64,64,Bolton Wanderers,€550K,€3K
5705,Carlos Blanco Moreno,23,Spain,65,72,Villarreal CF,€675K,€6K
5706,Jairo Izquierdo González,28,Spain,71,71,FC Cartagena,€1.7M,€6K
5707,Yann Bodiger,27,France,71,73,Granada CF,€2M,€7K
5708,Junling Yan,31,China PR,73,73,Shanghai Port FC,€1.6M,€12K
5710,Ang Li,28,China PR,67,67,Shanghai Port FC,€875K,€6K
5711,Peter Olayinka,26,Nigeria,75,76,SK Slavia Praha,€6.5M,€1K
5712,Gonzalo Godoy,33,Uruguay,66,66,Carlos A. Mannucci,€400K,€500
5713,Brice Wembangomo,25,Norway,69,74,FK Bodø/Glimt,€1.9M,€3K
5714,Ivan Ordets,29,Ukraine,75,75,VfL Bochum 1848,€4.7M,€22K
5715,Kevin Diks,25,Netherlands,71,73,F.C. København,€2.2M,€13K
5716,Eric Ahumada,28,Chile,60,61,CD Antofagasta,€230K,€1K
5717,Bonke Innocent,26,Nigeria,68,71,FC Lorient,€1.4M,€7K
5718,Dom Telford,25,England,64,68,Crawley Town,€825K,€4K
5719,Pardo Aguedar,30,Paraguay,74,74,,€0,€0
5720,Kevin Lasagna,29,Italy,73,73,Hellas Verona,€3M,€24K
5721,Brandur H. Olsen,26,Faroe Islands,62,65,Helsingborgs IF,€525K,€850
5722,Ivan Provedel,28,Italy,78,79,Lazio,€11M,€38K
5723,Walmer Pacheco,27,Colombia,69,70,Junior FC,€1.5M,€2K
5724,Borja Fernández Fernández,22,Spain,64,70,Miedź Legnica,€600K,€2K
5725,Daniele Liotti,28,Italy,68,68,Urbs Reggina 1914 ,€1.1M,€1K
5726,Sondre Fet,25,Norway,68,72,FK Bodø/Glimt,€1.7M,€2K
5727,Fawaz Al Sagour,26,Saudi Arabia,67,70,Al Shabab,€1.2M,€10K
5729,Mitsuru Maruoka,23,Japan,61,65,Cerezo Osaka,€325K,€1K
5730,Khaled Narey,27,Germany,74,74,PAOK,€4.5M,€1K
5731,Jhon Duque,30,Colombia,72,72,Atlético Nacional,€2M,€4K
5732,Mads Døhr Thychosen,25,Denmark,69,73,FC Midtjylland,€1.7M,€11K
5733,Nicolás Fernández,26,Argentina,71,74,Defensa y Justicia,€2.5M,€11K
5734,Habib Diallo,27,Senegal,77,78,RC Strasbourg Alsace,€12.5M,€30K
5736,Adam Masina,28,Morocco,74,74,Udinese Calcio,€3.8M,€15K
5737,Stiven Vega,22,Colombia,64,73,Millonarios FC,€1.3M,€950
5738,Kasey Palmer,25,Jamaica,68,71,Coventry City,€1.6M,€9K
5739,Víctor Dávila,23,Chile,71,78,Club León,€3.8M,€11K
5740,Tom Beadling,26,England,62,63,Western Sydney Wanderers,€425K,€2K
5741,Bradley Collins,25,England,69,74,Barnsley,€1.6M,€5K
5742,Abdullah Al Ammar,28,Saudi Arabia,66,66,Damac FC,€775K,€6K
5743,Stefano Gori,26,Italy,67,69,Perugia,€950K,€20K
5744,Oliver Burke,25,Scotland,68,73,SV Werder Bremen,€1.8M,€10K
5745,Martín Campaña,33,Uruguay,73,73,Al Batin,€1M,€11K
5746,Luis Fernando León,28,Ecuador,70,70,Club Atlético de San Luis,€1.4M,€9K
5747,Matthias Bader,25,Germany,73,75,SV Darmstadt 98,€3.5M,€15K
5748,Murilo de Souza Costa,27,Brazil,73,73,Gil Vicente FC,€3.2M,€10K
5749,Anuar Mohamed Tuhami,27,Morocco,72,73,Real Valladolid CF,€2.7M,€16K
5750,Pedro Gallese,32,Peru,74,74,Orlando City Soccer Club,€2.1M,€6K
5751,Leonel Morales,29,Bolivia,65,65,,€0,€0
5752,Stephy Mavididi,24,England,77,81,Montpellier Hérault SC,€15M,€22K
5753,Ben Swanson,19,United States,60,71,Columbus Crew,€350K,€1K
5754,Maximilian Dittgen,27,Germany,66,66,FC Ingolstadt 04,€925K,€3K
5755,Jamie McGrath,25,Republic of Ireland,66,69,Dundee United,€1.1M,€4K
5756,Steve Shamal,26,France,61,62,FC Annecy,€375K,€1K
5757,Jann George,29,Germany,64,64,SpVgg Bayreuth,€575K,€750
5760,Otávio Henrique Passos Santos,27,Brazil,74,76,FC Girondins de Bordeaux,€4.6M,€20K
5761,Malcom Filipe Silva de Oliveira,21,Brazil,82,89,FC Barcelona,€31M,€140K
5762,Woo Jae Jeong,30,Korea Republic,68,68,Jeju United FC,€1M,€3K
5763,Chadrac Akolo,27,Congo DR,70,70,FC St. Gallen 1879,€1.7M,€8K
5764,João Rafael Brito Teixeira,28,Portugal,69,69,GD Chaves,€1.4M,€5K
5765,Tyler Walker,25,England,66,67,Coventry City,€1M,€7K
5766,Auro Alvaro da Cruz Junior,25,Brazil,69,71,Toronto FC,€1.6M,€4K
5767,Erhun Öztümer,31,England,67,67,Adana Demirspor,€850K,€7K
5768,Marvelous Nakamba,28,Zimbabwe,75,76,Aston Villa,€5.5M,€60K
5769,Francois-Joseph Sollacaro,28,France,67,69,AC Ajaccio,€875K,€5K
5770,Jorge Meré Pérez,24,Spain,72,77,Club América,€3.2M,€24K
5771,Erten Ersu,28,Turkey,63,65,Gazişehir Gaziantep F.K.,€400K,€3K
5772,Franco Cervi,28,Argentina,78,78,RC Celta de Vigo,€14M,€27K
5773,Andrés Chávez,31,Argentina,69,69,Club Atlético Banfield,€1.2M,€8K
5774,Federico Palacios Martínez,27,Spain,63,64,Viktoria Köln,€550K,€2K
5775,Ozan Tufan,27,Turkey,73,74,Hull City,€3.5M,€15K
5776,Rob Dickie,26,England,74,77,Queens Park Rangers,€4.9M,€28K
5777,Okan Kocuk,26,Turkey,69,72,Galatasaray SK,€1.4M,€19K
5778,Ali Adnan,27,Iraq,73,73,Vejle Boldklub,€2.9M,€10K
5779,Zsolt Kalmár,25,Hungary,72,76,,€0,€0
5780,Juan Martín Lucero,30,Argentina,75,75,Colo-Colo,€5.5M,€9K
5782,Muhammed Enes Durmuş,20,Turkey,64,76,Göztepe SK,€800K,€4K
5783,Wellington Nascimento Carvalho,25,Brazil,69,70,Portimonense SC,€1.2M,€6K
5784,Danilo Barbosa da Silva,26,Brazil,70,74,OGC Nice,€2M,€19K
5785,Jaime Mata Arnaiz,33,Spain,75,75,Getafe CF,€3.6M,€27K
5786,Smail Prevljak,27,Bosnia and Herzegovina,73,74,KAS Eupen,€3.6M,€12K
5787,Javier Eraso Goñi,31,Spain,70,70,CD Leganés,€1.3M,€7K
5788,David Concha Salas,25,Spain,64,67,Hammarby IF,€775K,€2K
5789,Leart Paqarada,27,Kosovo,72,72,FC St. Pauli,€2.3M,€13K
5790,Marco Schuster,26,Germany,68,70,SC Paderborn 07,€1.3M,€8K
5791,Alejandro Granell Nogué,32,Spain,72,72,Club Bolívar,€1.6M,€900
5792,Stefan Lainer,29,Austria,76,76,Borussia Mönchengladbach,€6.5M,€26K
5793,Craig MacGillivray,29,Scotland,65,66,Charlton Athletic,€550K,€3K
5794,Stephen Kingsley,27,Scotland,72,73,Heart of Midlothian,€2.4M,€6K
5795,Marlon Ritter,27,Germany,67,67,1. FC Kaiserslautern,€1.1M,€5K
5796,Marvin Schulz,27,Germany,68,71,Holstein Kiel,€1.4M,€8K
5797,Paul Bernardoni,25,France,76,81,Angers SCO,€9M,€16K
5798,Rodney Kongolo,24,Netherlands,67,72,Cosenza,€1.4M,€1K
5799,Boris Babić,24,Switzerland,64,69,FC Lugano,€900K,€3K
5800,Paolo Fernándes Cantin,21,Spain,66,75,C.D. Castellón,€1.9M,€2K
5801,Godswill Ekpolo,27,Nigeria,69,70,IFK Norrköping,€1.5M,€4K
5802,Adam Marušić,29,Montenegro,79,79,Lazio,€15.5M,€51K
5803,Marvin Schwäbe,27,Germany,77,80,1. FC Köln,€10.5M,€21K
5804,Agustín Farías,33,Argentina,68,68,Club Deportivo Palestino,€750K,€2K
5805,Nigel Atangana,31,France,61,61,Exeter City,€275K,€2K
5806,Janik Bachmann,26,Germany,69,70,SV Sandhausen,€1.5M,€4K
5807,Erick Aguirre,24,Mexico,74,79,CF Monterrey ,€6M,€30K
5808,Jesús Imaz Ballesté,31,Spain,70,70,Jagiellonia Białystok,€1.3M,€7K
5809,Roger Riera Canadell,27,Spain,63,66,FC Andorra,€550K,€2K
5810,Joachim Andersen,26,Denmark,77,80,Crystal Palace,€12M,€48K
5811,Adam Phillips,24,England,65,68,Barnsley,€975K,€3K
5812,Robin Zentner,27,Germany,76,78,1. FSV Mainz 05,€7M,€20K
5813,Jonjoe Kenny,25,England,74,75,Hertha BSC,€4.6M,€22K
5814,Leândro Messias dos Santos,38,Brazil,63,63,PGE FKS Stal Mielec,€110K,€650
5815,Ancelmo Holanda Bessa Júnior,25,Brazil,66,68,Boavista FC,€750K,€6K
5816,Lewis Cook,25,England,74,78,AFC Bournemouth,€6M,€37K
5817,Mateusz Wieteska,25,Poland,68,73,Clermont Foot 63,€1.6M,€7K
5818,Taras Romanczuk,30,Poland,69,69,Jagiellonia Białystok,€1.2M,€5K
5819,Germán Lanaro,36,Argentina,69,69,Universidad Católica,€250K,€4K
5820,Ezequiel Ponce,25,Argentina,74,79,Elche CF,€6.5M,€19K
5821,Junior Sornoza,28,Ecuador,75,75,Independiente del Valle,€5.5M,€1K
5822,Alex Castro,28,Colombia,69,69,Club Nacional de Football,€1.4M,€500
5823,Juan José Narváez,27,Colombia,70,70,Real Valladolid CF,€1.7M,€13K
5824,Ernesto Torregrossa,30,Italy,71,71,Pisa,€1.8M,€14K
5825,Érick Gutiérrez,27,Mexico,76,77,PSV,€8.5M,€18K
5826,Jordan Hugill,30,England,69,69,Norwich City,€1.4M,€21K
5827,Franck Honorat,25,France,77,78,Stade Brestois 29,€12.5M,€24K
5828,George Thomas,25,Wales,63,67,Queens Park Rangers,€675K,€7K
5829,Devis Epassy,29,Cameroon,66,68,Abha Club,€700K,€3K
5830,Ryan Johnson,25,Northern Ireland,60,62,Stockport County,€275K,€2K
5831,Niclas Eliasson,26,Sweden,73,74,AEK Athens,€3.6M,€1K
5832,Badou Ndiaye,31,Senegal,72,72,Adana Demirspor,€1.9M,€16K
5833,Ulrik Saltnes,29,Norway,75,75,FK Bodø/Glimt,€5.5M,€7K
5834,Dominic Hyam,26,Scotland,71,74,Blackburn Rovers,€2.2M,€24K
5835,Jack Stacey,26,England,73,75,AFC Bournemouth,€3.5M,€33K
5836,Guillermo Martínez,26,Mexico,65,66,Puebla FC,€850K,€3K
5837,Lyes Houri,25,France,68,70,Universitatea Craiova,€1.5M,€6K
5838,Jordan Rossiter,25,England,64,67,Bristol Rovers,€700K,€2K
5839,Nico Elvedi,25,Switzerland,78,81,Borussia Mönchengladbach,€16.5M,€27K
5840,Raúl Michel Melo da Silva,31,Brazil,74,74,SC Braga,€2.9M,€12K
5842,Leandro Kappel,31,Suriname,71,71,Altay SK,€1.6M,€11K
5843,Luciano Acosta,28,Argentina,76,76,FC Cincinnati,€7.5M,€10K
5844,Ahmed Sharahili,28,Saudi Arabia,69,69,Al Ittihad,€1.2M,€16K
5845,Colby Bishop,25,England,67,70,Portsmouth,€1.4M,€5K
5846,Enzo Crivelli,27,France,71,72,Servette FC,€2.2M,€13K
5847,Hélder Wander Sousa Azevedo Costa,28,Angola,74,74,Al Ittihad,€4.2M,€34K
5848,Marcel Sobottka,28,Germany,72,72,Fortuna Düsseldorf,€2.1M,€17K
5849,Haolun Mi,29,China PR,65,65,Shenzhen FC,€625K,€3K
5850,Paul Seguin,27,Germany,72,73,1. FC Union Berlin,€2.7M,€21K
5851,Nebojša Kosović,27,Montenegro,62,63,Meizhou Hakka,€400K,€2K
5852,Jonathan Lindseth,25,Norway,67,68,Sarpsborg 08 FF,€1.2M,€2K
5854,Bradford Jamieson IV,21,United States,64,74,LA Galaxy,€725K,€2K
5855,Josh Onomah,25,England,69,73,Fulham,€1.9M,€23K
5856,Harry Lewis,24,England,64,71,Bradford City,€1M,€3K
5857,Cristian Buonaiuto,29,Italy,72,72,US Cremonese,€2.3M,€10K
5858,Róbert Pich,33,Slovakia,66,66,Legia Warszawa,€525K,€3K
5859,Vasil Bozhikov,32,Bulgaria,67,67,,€0,€0
5861,Jeison Angulo,26,Colombia,68,71,Club Deportes Tolima,€1.5M,€2K
5862,Ke Shi,29,China PR,68,68,Shandong Taishan,€1M,€8K
5863,Albian Ajeti,25,Switzerland,69,73,SK Sturm Graz,€2M,€24K
5864,Luis Vásquez,26,Colombia,64,67,Independiente Medellín,€600K,€650
5865,Nikita Haikin,26,Russia,72,75,FK Bodø/Glimt,€2.4M,€3K
5866,Dominic Ball,26,England,68,69,Ipswich Town,€1.3M,€6K
5867,Connor Ogilvie,26,England,68,69,Portsmouth,€1.3M,€5K
5868,Liam Kinsella,26,Republic of Ireland,63,64,Walsall,€550K,€4K
5869,Grant Ward,26,England,65,66,Blackpool,€825K,€4K
5870,Jacob Storevik,25,Norway,65,69,Sandefjord Fotball,€775K,€900
5871,Luan Guilherme de Jesus Vieira,22,Brazil,74,82,Grêmio,€5M,€45K
5872,Morten Thorsby,26,Norway,74,76,1. FC Union Berlin,€5M,€26K
5873,Lynden Gooch,26,United States,66,67,Sunderland,€925K,€5K
5874,Efthymios Koulouris,26,Greece,69,71,LASK Linz,€1.7M,€14K
5875,Rúnar Alex Rúnarsson,27,Iceland,71,73,Aytemiz Alanyaspor,€1.7M,€31K
5876,Andrés Tello,25,Colombia,68,71,Benevento,€1.6M,€2K
5877,Franco Escobar,27,Argentina,68,69,Los Angeles FC,€1.3M,€3K
5878,Nélson Macedo Monte,26,Portugal,70,72,GD Chaves,€1.7M,€5K
5879,Leonel López,27,Mexico,72,73,Club Universidad Nacional,€2.7M,€11K
5880,Andrea Barberis,28,Italy,73,74,AC Monza,€2.9M,€34K
5881,Déinner Quiñones,26,Colombia,69,69,América de Cali,€1.5M,€2K
5882,Moussa Sao,28,France,65,65,Red Star FC,€550K,€2K
5883,Cristian Cuevas,27,Chile,67,67,Universidad Católica,€1.1M,€4K
5884,Renan Da Silva,24,Brazil,59,64,Al Nahdha Dammam,€140K,€750
5885,Paweł Jaroszyński,27,Poland,65,65,Cracovia,€650K,€6K
5886,Jordan Amavi,28,France,74,74,Getafe CF,€3.8M,€30K
5887,Saúl García Cabrero,27,Spain,70,71,Racing Santander,€1.7M,€6K
5888,Agostino Camigliano,27,Italy,63,65,Cosenza,€500K,€700
5889,Alexandre Barros Soares,29,Portugal,69,69,Moreirense FC,€1.4M,€7K
5890,Salvatore Molina,30,Italy,70,70,AC Monza,€1.5M,€24K
5891,Mohammed Haidar,23,Lebanon,53,57,Al Fateh,€50K,€1K
5892,José Manuel Rodríguez Benito,30,Spain,71,71,SD Eibar,€1.5M,€7K
5893,Baptiste Santamaria,27,France,76,77,Stade Rennais FC,€8.5M,€41K
5895,Joel Coleman,25,England,62,65,Rochdale,€400K,€1K
5896,Dimitri Cavaré,27,France,66,67,FC Sion,€900K,€7K
5897,Geisson Perea,29,Colombia,68,68,Pachuca,€1M,€7K
5898,Charles Edoa,23,Cameroon,56,60,Al Orobah,€100K,€2K
5899,Bruno Oliveira Moreno,27,Brazil,62,63,Al Raed,€150K,€3K
5900,Adrián Embarba Blázquez,30,Spain,75,75,Unión Deportiva Almería,€5.5M,€24K
5901,Abdulatif Ismaeel,26,Bahrain,58,58,Al Nahdha Dammam,€110K,€750
5902,Magomed Musalov,23,Russia,67,73,FC Anzhi Makhachkala,€875K,€10K
5903,Adama Traore,25,Mali,55,55,Al Nahdha Dammam,€70K,€250
5904,Sam Adekugbe,27,Canada,70,71,Atakaş Hatayspor,€1.7M,€8K
5905,Saîf-Eddine Khaoui,27,Tunisia,70,71,Clermont Foot 63,€1.8M,€11K
5906,Harrison McGahey,25,England,62,65,Oldham Athletic,€475K,€2K
5907,Leandro Padilha de Oliveira,25,Brazil,64,66,Al Faisaly,€500K,€5K
5908,Connor Mahoney,25,England,68,71,Huddersfield Town,€1.6M,€9K
5909,Norbert Gyömbér,29,Slovakia,71,71,US Salernitana 1919,€1.6M,€16K
5910,Ettore Gliozzi,26,Italy,67,68,Pisa,€1.2M,€2K
5911,Formose Mendy,24,France,64,68,Red Star FC,€500K,€2K
5912,Joseba Zaldúa Bengoetxea,30,Spain,75,75,Cádiz CF,€4.8M,€25K
5916,Jorge Fernando Barbosa Intima,25,Guinea Bissau,64,65,Wisła Płock,€700K,€2K
5917,Juan Dinenno,26,Argentina,76,77,Club Universidad Nacional,€9M,€16K
5918,Ángel Romero,28,Paraguay,76,76,Cruz Azul,€7.5M,€62K
5919,Óscar Romero,29,Paraguay,76,76,Boca Juniors,€7.5M,€18K
5920,Sofian Chakla,28,Morocco,68,69,Oud-Heverlee Leuven,€1.1M,€6K
5921,Alejandro Mula Sánchez,24,Spain,66,69,AD Alcorcón,€1.2M,€2K
5922,Martin Dúbravka,33,Slovakia,80,80,Manchester United,€7M,€70K
5924,Antonio Barreca,27,Italy,69,70,Cagliari,€1.5M,€2K
5926,Federico Ricci,28,Italy,72,72,Urbs Reggina 1914 ,€2.4M,€3K
5927,Francesco Di Mariano,26,Italy,71,72,Palermo,€2.2M,€4K
5928,Nikita Contini,26,Ukraine,67,69,U.C. Sampdoria,€950K,€11K
5929,Frank Liivak,25,Estonia,58,59,Sligo Rovers,€240K,€500
5930,Danny Bejarano,26,Bolivia,63,63,,€0,€0
5931,Michał Jakóbowski,29,Poland,63,63,Warta Poznań,€475K,€1K
5932,Rafael Rogério da Silva,26,Brazil,74,75,Toulouse Football Club,€5M,€19K
5933,Leonardo B. Lohner Maia,28,Brazil,67,67,Wolverhampton Wanderers,€1M,€25K
5934,Brandon Borrello,26,Australia,67,67,Western Sydney Wanderers,€1.1M,€4K
5940,Joshua Putze,23,Germany,63,68,VfL Sportfreunde Lotte,€425K,€500
5941,Alen Halilović,25,Croatia,69,72,Reading,€1.8M,€13K
5942,Domagoj Antolić,31,Croatia,72,72,Damac FC,€1.9M,€16K
5943,Jean Zimmer,28,Germany,66,66,1. FC Kaiserslautern,€850K,€4K
5944,Saliou Sané,28,Germany,63,63,FC Würzburger Kickers,€500K,€2K
5945,Gil Burón,27,Mexico,65,66,Club León,€750K,€6K
5947,Mohamed Gouaida,28,Tunisia,62,62,SV Waldhof Mannheim 07,€400K,€950
5948,Jonathan Mitchell,27,England,62,64,Doncaster Rovers,€375K,€3K
5949,Tariqe Fosu,26,Ghana,69,69,Stoke City,€1.5M,€22K
5950,Musab Al Laham,23,Jordan,65,70,Najran SC,€550K,€6K
5951,Stian Rode Gregersen,27,Norway,71,74,FC Girondins de Bordeaux,€2.1M,€6K
5952,Patrik Carlgren,30,Sweden,71,71,Randers FC,€1.2M,€7K
5953,Rúben Afonso Borges Semedo,27,Portugal,76,77,FC Porto,€7.5M,€1K
5954,Jean-David Beauguel,30,France,77,77,Al Wehda,€10.5M,€30K
5955,Salih Uçan,28,Turkey,73,73,Beşiktaş JK,€3M,€38K
5956,Álvaro Peña Herrero,29,Spain,65,65,SD Amorebieta,€700K,€2K
5958,Víctor García,27,Venezuela,67,68,AD Alcorcón,€1.1M,€4K
5959,Joe Lumley,27,England,68,70,Reading,€1.1M,€9K
5960,Wilde-Donald Guerrier,27,Haiti,71,71,Aytemiz Alanyaspor,€1.6M,€20K
5961,Javier Abella,27,Mexico,71,71,Club Atlas,€1.8M,€9K
5962,Zainadine Chavango Júnior,34,Mozambique,74,74,Clube Sport Marítimo,€1.4M,€9K
5963,Julien De Sart,27,Belgium,75,76,KAA Gent,€6.5M,€22K
5964,Mohamed El-Munir,28,Libya,69,69,Los Angeles FC,€1.3M,€4K
5965,Nuno Miguel Jerónimo Sequeira,31,Portugal,77,77,SC Braga,€7.5M,€15K
5966,Emmanuel Boateng,28,Ghana,66,66,New England Revolution,€850K,€3K
5967,Genki Haraguchi,31,Japan,74,74,1. FC Union Berlin,€3.5M,€26K
5968,Paul Arriola,27,United States,73,73,FC Dallas,€3.2M,€8K
5969,Eduards Višnakovs,26,Latvia,64,65,Ruch Chorzów,€500K,€4K
5970,Khama Billiat,31,Zimbabwe,72,72,Kaizer Chiefs,€2M,€850
5971,Carlos Servín,34,Paraguay,66,66,Club Libertad,€150K,€500
5972,Nicolás Vargas,28,Chile,68,68,Deportivo Ñublense,€1M,€4K
5973,Saturnin Allagbé,28,Benin,67,68,Dijon FCO,€800K,€2K
5974,Josip Elez,28,Croatia,71,72,Hajduk Split,€1.8M,€700
5975,David Ochieng,25,Kenya,60,63,IF Brommapojkarna,€220K,€1K
5976,Sargis Adamyan,29,Armenia,73,73,1. FC Köln,€3M,€25K
5977,Ambroise Oyongo,30,Cameroon,72,72,Montpellier Hérault SC,€2M,€17K
5978,Will Aimson,28,England,64,64,Bolton Wanderers,€500K,€3K
5979,Facundo Sánchez,32,Argentina,69,69,Panathinaikos FC,€975K,€500
5980,Elosman Euller Silva Cavalcante,27,Brazil,68,68,GD Chaves,€1.2M,€4K
5981,Jack Byrne,26,Republic of Ireland,68,69,Shamrock Rovers,€1.4M,€2K
5982,Olivier Ntcham,26,Cameroon,71,72,Swansea City,€2.2M,€18K
5983,José Ángel Pozo la Rosa,26,Spain,73,76,Rayo Vallecano,€4M,€16K
5984,Olivier Custodio,26,Switzerland,68,71,FC Lugano,€1.4M,€5K
5985,Khalil Bani Attiah,23,Jordan,60,62,Al Faisaly,€210K,€3K
5986,Sylvain Gbohouo,31,Côte d'Ivoire,69,69,,€0,€0
5987,Marcos Caicedo,30,Ecuador,65,65,CS Emelec,€700K,€500
5988,Saif Salman,22,Iraq,64,71,Al Ittihad,€525K,€8K
5989,Pablo Galdames,25,Chile,71,75,Genoa,€2.6M,€4K
5990,Jorge Grant,27,England,69,69,Heart of Midlothian,€1.5M,€4K
5991,Michał Helik,26,Poland,71,72,Huddersfield Town,€1.9M,€12K
5992,Eliassou Issiaka,27,Mali,52,52,Al Orobah,€30K,€1K
5993,Gonzalo Escalante,29,Argentina,76,76,US Cremonese,€6.5M,€40K
5994,Alex Rufer,26,New Zealand,62,65,Wellington Phoenix,€475K,€950
5995,Ryan Fulton,24,Scotland,63,68,Hamilton Academical FC,€575K,€1K
5996,Amin Abbas,26,Tunisia,57,58,Al Nahdha Dammam,€70K,€500
5997,Ebenezer Ofori,26,Ghana,67,67,Vejle Boldklub,€1.1M,€3K
